league_type,match_time,match_duration,team1,team2,team1_score,team2_score,team1_half_score,team2_half_score
哥伦甲春,补8',90+1,佩雷拉,福塔雷扎CEIF,2,0,1,0
巴圣锦标,06:00,中,迈拉索尔SP,圣安德雷SP,3,0,3,0
巴伯联,06:00,中,瑞特PE,马古利PE,0,0,0,0
巴高联,06:00,中,古亚尔尼巴热RS,塞卡西亚斯RS,0,0,0,0
巴伊联,06:00,中,庞巴尔,圣保罗水晶PB,0,1,0,1
巴卡皮联,06:00,中,维多利亚ES,费罗维里亚ES,1,0,1,0
墨康杯,06:00,中,颂娜C队,洛斯卡沃斯联,1,1,1,1
巴皮联,06:00,48,富明尼斯PI,科瑞萨巴PI,2,0,2,0
巴圣锦标,08:00,完,甘美奥诺瓦里桑蒂诺SP,红牛伯拉根森SP,0,2,0,0
阿后备,08:00,完,科尔多瓦圣地亚哥中央 (后备),塔勒雷斯 (后备),1,0,0,0
阿后备,08:00,完,独立队 (后备),萨尔米安杜竹宁 (后备),1,0,1,0
自由杯,08:30,完,欧若拉,梅加,1,0,1,0
里约锦TG,08:30,完,法林明高RJ,博塔福格RJ,1,0,0,0
巴圣锦标,08:30,完,圣贝纳多SP,波图加沙SP,1,0,1,0
巴卡德联,08:30,完,积安维尔SC,阿瓦伊SC,2,2,0,2
巴高联,08:30,完,圣塔库鲁RS,国际体育会RS,0,2,0,2
巴巴亚联,08:30,完,巴海亚BA,伊塔布纳BA,5,0,1,0
巴圣锦标,08:35,完,圣保罗SP,阿故圣塔SP,3,0,1,0
阿根廷杯,08:45,完,河床(中),伊希库斯尼斯塔,3,0,0,0
乌拉业余杯,08:50,完,国都洗衣厂,三十三内陆,7,0,3,0
乌拉业余杯,08:50,完,特雷斯省,内拉瓦莱哈,6,0,3,0
美冠杯,09:00,完,霍格,瓜达拉哈拉芝华士,1,3,1,2
哥伦甲春,09:00,完,米伦拿列奥,卡利阿美利加,1,0,0,0
萨尔超秋,09:00,完,慕尼奇博尔立米诺,德拉贡,2,1,1,0
哥斯乙,09:00,完,阿瑟里,贝伦蝎子,2,3,1,1
乌拉业余杯,09:00,完,国都佛罗里达,佛罗里达州,5,2,3,2
乌拉业余杯,09:00,完,塔库兰博,杜拉兹,2,2,2,1
巴马全联,09:00,完,陶罗 (后备),巴拿马城FC,0,2,0,2
墨西甲秋,09:05,完,CA拉巴斯,亚特兰特,0,0,0,0
乌拉业余杯,09:10,完,科洛卡皮特,圣何塞因尔,2,0,1,0
乌拉业余杯,09:10,完,圣何塞首都,科洛尼亚内,2,1,0,0
萨尔超秋,09:15,完,阿利安萨圣萨尔瓦多,霍科罗,5,0,2,0
萨尔超秋,09:30,完,CD法斯,萨卡特科卢卡,0,0,0,0
巴马甲,09:30,完,旧金山,维拉加斯FC,2,1,0,0
危地乙,10:00,完,米特兰,巴韦雷纳,3,0,2,0
危地乙,10:00,完,马昆森,尤文都德科帕雷拉,5,0,2,0
危地乙,10:00,完,奎切,德莫克拉西亚,3,0,3,0
巴马全联,10:10,完,埃雷拉 (后备),马里奥门德斯,1,1,1,1
美冠杯,11:00,完,温哥华白帽(中),塔格雷斯,1,1,1,0
大冠杯,11:00,完,雷瓦,劳托卡,0,0,0,0
墨西甲秋,11:05,完,西玛罗雷斯索诺拉,塔巴蒂奥,1,2,1,1
墨西联秋,11:10,完,帕丘卡,利昂,3,2,1,2
印德联,13:40,完,加尔瓦尔,皇家游骑兵,1,0,1,0
球会友谊,15:00,完,莫斯科火车头(中),莫斯科鱼雷,2,0,2,0
球会友谊,16:00,完,亚历山德里亚,哈维德夫,1,2,0,2
球会友谊,16:00,完,卡马斯,柴卡,3,2,0,0
球会友谊,16:00,完,新西伯利亚,卡卢咖,0,1,0,0
球会友谊,16:00,完,迪拜城,乌拉尔图,2,8,1,3
印德联,16:10,完,塔伦桑加,兰杰斯,2,0,1,0
球会友谊,16:30,完,B93哥本哈根,莱格尼察,1,0,0,0
球会友谊,16:30,完,韦莱斯莫斯科,切塔罗沃莫斯科,3,0,0,0
球会友谊,17:00,完,阿尔达克尔贾利(中),杜保尔,0,3,0,2
球会友谊,17:00,完,提比利锡戴拿模,瓦尔麦斯,1,0,1,0
阿尔U21,17:00,完,比斯克拉 U21,绍乌拉 U21,1,1,1,0
澳维超,17:15,完,南墨尔本,墨尔本骑士,1,0,1,0
印度乙,17:30,完,孟加拉鲁联合会,联合会SC,2,2,2,1
印度乙,17:30,完,SC班加罗尔,苏德瓦德里,2,1,1,1
球会友谊,18:00,完,达拉斯(中),马尔默,1,4,0,2
球会友谊,18:00,完,斯巴达瑟拉梅,伊斯卡勒布尼察,4,2,2,1
球会友谊,18:00,完,马尔默(中),博德闪耀,0,4,0,2
阿塞甲,18:00,完,MOIK巴古,卡云艾夫拉克,0,1,0,0
印孟联,18:00,完,CFCI,希望联合,0,1,0,0
国际友谊,18:00,完,英格兰 U17(女)(中),苏格兰 U17(女),5,0,2,0
伊朗杯,18:30,完,乔卡塔利什,泰拉克托,0,3,0,0
伊朗杯,18:30,完,海达里耶,迈斯科曼,0,6,0,3
伊朗杯,18:30,完,瓦尔扎甘,谢纳瓦尔萨齐,1,1,0,0
伊朗杯,18:30,完,尼洛耶扎米尼,法加尔瑟帕斯,1,1,0,0
阿塞甲,18:30,完,迪法伊阿格苏,阿拉兹萨特利,4,0,2,0
印度乙,18:30,完,甸普,肯克雷,0,2,0,2
印度乙,18:30,完,SC果阿,马哈拉施特奥兰治,2,0,2,0
印喀联,18:30,完,喀拉拉邦警察,蒂鲁尔体育学院,0,2,0,0
球会友谊,19:00,完,迪拿,加雷捷,2,3,1,1
球会友谊,19:00,完,梅西亚英佩尔,桑恩达,1,2,0,1
伊朗杯,19:00,完,塞帕卡拉杰(中),帕斯约努比贾姆,1,0,1,0
阿塞甲,19:00,完,埃涅尔格提克,沙马基,0,1,0,0
叙利亚乙,19:00,完,肖特哈马,塔尔图斯,1,3,1,0
国际友谊,19:00,完,土耳其 U17(女),斯洛伐克 U17(女),3,2,2,1
以丙,19:15,完,加兰苏瓦,夏普尔比内福迪斯,3,0,0,0
伊朗杯,19:30,完,纳夫特,埃斯特格拉尔,0,0,0,0
伊朗杯,19:30,完,高尔高赫,尼卡岶里斯,0,0,0,0
伊朗杯,19:30,完,扎巴汉,德黑兰起亚,3,0,0,0
球会友谊,20:00,完,南塔,布达尔斯,2,1,1,0
球会友谊,20:00,完,加加纪亚,弗洛雷斯蒂,4,0,1,0
球会友谊,20:00,完,西雅图海湾人,奥丹斯,0,3,0,1
球会友谊,20:00,完,孔波齐矿,PFC蒙大拿,0,7,0,1
球会友谊,20:00,完,PFC索治,索菲亚斯拉维亚,1,0,0,0
埃塞超,20:00,完,锡达马(中),NIGD银行,2,1,1,1
国际友谊,20:00,完,孟加拉 U19(女),印度 U19(女),1,1,0,1
沙地乙B,20:25,完,朱拜勒,阿尔舒伊布,3,1,2,1
伊朗杯,20:30,完,弗兰候萨斯坦,查多玛路,0,1,0,0
埃及甲,20:30,完,萨奇亚多坎,波图苏伊士,3,0,1,0
埃及甲,20:30,完,卡巴阿斯玛利,开罗FC,0,0,0,0
埃及甲,20:30,完,哈比,阿洛埃及,1,1,0,0
埃及甲,20:30,完,伊蒂哈阿修塔,柏迪福阿德,1,1,1,0
埃及甲,20:30,完,阿尔梅雷赫塞得港,苏伊士,0,1,0,1
沙地乙B,20:40,完,德拉伊耶,瓦吉,1,1,0,1
埃及甲,20:40,完,萨母斯,奈梅特西奈,3,0,1,0
芬联杯,20:45,完,哈卡(中),施拿钟基,1,2,0,1
沙地乙B,20:50,完,阿尔萨克尔,阿尔萨德利雅得,3,0,1,0
沙地乙B,20:50,完,图韦克,阿拉尔,3,0,0,0
阿塞杯,21:00,完,兹拉,萨巴伊,3,0,2,0
芬联杯,21:00,完,古比斯(中),VPS华沙,5,0,3,0
球会友谊,21:00,完,斯达(中),拜尼,1,1,0,1
球会友谊,21:00,完,乌拉尔II队,下塔吉尔,2,2,0,0
球会友谊,21:00,完,韦莱斯莫斯科,卡卢咖,1,0,1,0
球会友谊,21:00,完,马尔默,博德闪耀,0,4,0,2
利比亚甲A,21:00,完,塔哈迪,阿尔莫罗,1,0,1,0
巴帕拉甲,21:00,完,圣弗朗西斯科,马拉巴PA,0,1,0,1
卢旺达联,21:00,完,穆库尔,卢旺达警察,2,0,2,0
大西洋杯,21:00,完,哥本哈根,莫尔德,3,1,2,0
国际友谊,21:00,完,波兰 U17(中),捷克 U17,3,4,2,0
乌干超,21:00,完,马鲁,瓦基奥巨人,0,0,0,0
沙地女联,21:00,完,纳吉马特吉达 (女),诺斯 (女),0,0,0,0
沙地乙B,21:05,完,禾特恩,阿尔努尔,2,1,1,0
沙地乙B,21:05,完,杰拉什,阿萨尔麦地那,2,1,0,0
沙地乙B,21:05,完,阿尔库兹,比萨FC,1,3,1,0
桑给超,21:10,完,加姆胡利,玛芬兹奥,0,1,0,1
桑给超,21:15,完,马林迪,恩戈姆足球俱乐部,2,0,1,0
沙地乙B,21:20,完,艾哈瓦,沙希尔盖提夫,2,1,1,1
球会友谊,21:30,完,达拉斯(中),奥特,4,1,1,0
球会友谊,21:30,完,格拉茨风暴 (青年),布林杰格罗苏普列,1,3,0,2
印喀联,21:30,完,喀拉拉邦联合,穆特,2,0,1,0
荷后备,21:30,完,洛达 (后备),威廉二世 (后备),3,2,2,0
科元首杯,21:40,完,沙米亚,阿尔塔达孟费瓦尼亚,3,0,1,0
球会友谊,22:00,完,圣彼得堡泽尼特(中),上海申花,6,0,2,0
球会友谊,22:00,完,亚历山德里亚,阿哈尔,3,0,1,0
球会友谊,22:00,完,诺夫哥罗德,莫斯科鱼雷,4,0,1,0
球会友谊,22:00,完,莫斯科迪纳摩,奥伦堡,4,1,1,0
球会友谊,22:00,完,诺维贝尔格莱德,拉尼奇NB,0,2,0,0
国际友谊,22:00,完,比利时 U17(女),威尔斯 U17(女),1,0,0,0
土杯,22:30,完,根塞尔伯里吉,特拉布宗,1,1,1,0
球会友谊,22:30,完,莫斯科火车头(中),乌拉尔图,2,1,1,0
球会友谊,22:30,完,列治亚,顿涅茨克矿工,1,1,0,1
球会友谊,22:30,完,伏尔加乌里扬诺夫斯克,新西伯利亚,0,1,0,0
阿尔U21,22:30,完,CS康桑汰 U21,巴亚兹 U21,2,1,1,0
阿尔U21,22:30,完,USM阿尔格 U21,巴拉特 U21,5,1,2,0
阿尔U21,22:30,完,瑟特福 U21,USM罕西拉 U21,1,1,0,1
阿尔U21,22:40,完,贝鲁扎达 U21,US 南声 U21,6,0,1,0
阿尔U21,22:40,完,MC奥兰 U21,克莱夫 U21,0,2,0,0
阿尔U21,22:40,完,阿克农 U21,MC阿尔及尔 U21,0,0,0,0
阿尔U21,22:40,完,卡比利亚 U21,玛格拉 U21,2,1,0,0
匈甲,23:00,完,梅索科菲德,帕克斯,0,1,0,0
摩洛超,23:00,完,拉加卡萨布兰卡,优素菲耶,2,0,1,0
球会友谊,23:00,完,基辅迪纳摩,利耶帕亚,5,2,3,2
埃塞超,23:00,完,梅克拉克亚(中),埃塞俄比亚文和,0,4,0,2
国际友谊,23:00,完,菲律宾 U17(女)(中),瑞典 U17(女),0,1,0,0
沙地甲,23:05,完,塔拉基,费萨里哈曼,0,1,0,1
阿塞杯,23:59,完,卡拉巴克,沙巴巴库,3,4,1,2
芬联杯,23:59,完,AC奥卢(中),伊尔韦斯,0,1,0,1
球会友谊,23:59,完,科维特科维采,布兰斯科,1,7,1,2
巴林甲,23:59,完,阿阿里,伊萨城,5,0,2,0
巴林甲,23:59,完,布戴亚,泰达姆恩,2,0,2,0
巴林甲,23:59,完,马勒基亚,乌姆艾哈桑,2,0,1,0
坦桑超,23:59,完,非洲年轻人,马舒贾足球俱乐部,2,1,1,0
冈比亚甲,23:59,完,贡古尔,塞雷昆达联队,0,1,0,0
冈比亚甲,23:59,完,甘比亚港,BK米兰,2,0,1,0
乌干超,23:59,完,维普斯,卡扎菲FC,0,0,0,0
马里甲,00:10,完,布尔古尼,佐里巴,0,1,0,1
毛里乙,00:15,完,韦达德阿拉法特,ASC警察,0,1,0,1
球会友谊,00:30,完,阿萨纳,力斯克罗斯特,2,0,0,0
以丙,00:30,完,比达亚夫内,MS耶路撒冷,0,1,0,0
摩洛超,01:00,完,查巴穆罕默迪耶,拉巴特皇家武装力量,0,3,0,1
摩洛超,01:00,完,莫罗迪亚,贝尔卡勒,1,0,1,0
科元首杯,01:00,完,卡德西亚,阿拉毕科威特,2,1,2,0
利比亚甲A,01:00,完,阿赫利班加西,安瓦,2,3,1,0
纳米超,01:00,完,孔斯南浦港,奥兰多海盗温得和克,2,1,0,0
国际友谊,01:00,完,挪威 U17(中),瑞典 U17,0,1,0,1
国际友谊,01:00,完,阿联酋 (女),伊拉克(女),1,0,0,0
德女杯,01:30,完,法兰克福 (女),费雷堡 (女),2,1,1,0
球会友谊,01:30,完,科尔丁Q (女),奥丹斯 (女),0,2,0,0
土杯,01:45,完,安塔利亚,贝西克塔斯,1,2,1,0
球会友谊,02:00,完,高灵,比绍夫斯霍芬,0,5,0,0
球会友谊,02:00,完,圣约翰,库驰,3,0,3,0
皇后杯,02:00,完,利云特 (女),皇家苏斯达 (女),1,2,1,0
以女甲,02:00,完,耶路撒冷夏普尔 (女),拉马特哈萨隆 (女),0,0,0,0
以女甲,02:00,完,马卡比齐索罗诺哈德洛 (女),ASA特拉维夫 (女),1,1,1,1
西丁,02:00,完,马略卡B队,桑塔尼,0,0,0,0
巴伯联,02:00,完,法林明高PE,达因加泽拉FC,2,3,2,3
巴波联,02:00,完,圣塔库鲁纳塔尔RN,阿美利加RN,2,2,1,1
巴利甲,02:00,完,帕拉罗阿DF,圣玛利亚DF,1,0,1,0
以丙,02:00,完,馬卡比巴尼阿布蘇南(中),塔玛拉马卡比,5,0,2,0
巴女锦U20,02:00,完,米内罗竞技 U20(女),金德曼 U20(女),1,0,1,0
巴女锦U20,02:00,完,布拉甘蒂诺女子U20(中),格雷米奥 U20(女),0,4,0,1
球会友谊,02:10,完,希拉尔,纳撒利雅德,2,0,2,0
以女甲,02:10,完,凯尔耶特 (女),彼達提克瓦伊諾尼夏普 (女),0,1,0,1
以丙,02:15,完,马卡比阿力伊斯尔,夏普尔布内慕斯,2,1,1,1
球会友谊,02:30,完,奥伯罗登,哈瑙,2,1,2,0
以女甲,02:30,完,布尔尼坦亚 (女),拉那那夏普尔 (女),2,0,1,0
巴国诺联,02:30,完,伊波拉GO,戈亚图巴GO,1,3,0,0
巴帕拉甲,02:30,完,加坦哈尔PA,卡埃特PA,2,3,1,1
巴利甲,02:30,完,首都DF,瑟兰迪亚DF,5,1,2,0
巴利甲,02:40,完,普拉纳尔蒂纳DF,萨曼拜亚DF,0,1,0,1
葡杯,02:45,完,甘马雷斯,吉尔维森特,3,1,3,1
里约锦TG,02:45,完,诺瓦艾夸古RJ,米底那RJ,1,0,0,0
巴卡皮联,02:45,完,新贝内西亚ES,波尔图维托利亚ES,1,3,1,1
球会友谊,02:50,完,阿米蒂FC,布拉克FC,0,2,0,0
匈甲,03:00,完,科斯克米提,迪欧斯捷尔,2,1,1,0
荷兰杯,03:00,完,格罗宁根,锡塔德命运,0,0,0,0
比利时杯,03:00,完,奥斯坦德,安特卫普,1,1,1,1
球会友谊,03:00,完,巴伦德瑞契,鹿特丹斯巴达 (后备),1,4,1,0
巴帕联,03:00,完,独立FSJ PR,欧帕瑞欧PR,0,1,0,1
巴帕拉甲,03:00,完,卡納PA,圣塔罗莎PA,0,0,0,0
马耳他杯,03:15,完,咸仑斯巴坦(中),古达加联,3,0,2,0
冰联杯,03:15,完,KA阿克雷里,达尔维克,3,1,1,1
法国杯,03:45,完,卢昂,摩纳哥,1,1,1,1
阿后备,03:50,完,贝尔格拉诺 (后备),图库曼体育会 (后备),3,0,1,0
皇后杯,04:00,完,马德里体育会 (女),皇家马德里 (女),2,1,1,0
冰联杯,04:00,完,阿克拉内斯,阿费查尔丁,5,2,2,0
阿后备,04:00,完,甘拿斯亚 (后备),河床 (后备),1,1,0,0
阿后备,04:00,完,沙士菲 (后备),圣罗伦素 (后备),3,0,2,0
阿后备,04:00,完,利斯特雷 (后备),联合队 (后备),0,0,0,0
奥南美预,04:00,完,阿根廷 U23(中),巴拉圭 U23,3,3,1,1
巴女锦U20,04:00,完,费罗维里亚 U20(女),山度士SP U20(女),2,0,1,0
冰女联杯,04:15,完,斯洛图尔 (女),哈夫纳夫约杜尔 (女),2,5,0,2
巴马全联,04:30,完,阿卡德锦标,巴拿马大学,4,2,3,0
葡杯,04:45,完,维赛拉,本菲卡,1,2,0,1
巴马全联,05:00,完,巴拿马阿连扎 (后备),圣马丁足球俱乐部,1,2,1,1
